,Song,Slide1,Slide2,Slide3,Slide4,Slide5,Slide6,Slide7,Slide8,Slide9,Slide10,Slide11,Slide12,Slide13,Slide14,Slide15,Slide16,Slide17,Slide18,Slide19,Slide20
43,Higher than the Clouds,"Broke the chains 
That held me down
The sun is shining now
I stand oh higher ground","On this mountain looking out
I see the future now
I'm higher than the clouds
I'm higher than the clouds","The world has tried 
To drag me down now
Lower than the ocean
I couldn't get up","Till I caught the hand of
My Creator
The Almighty
And in the middle of the ocean
I was lifted higher","I was exalted 
Taken from the mire
By my Creator
The Almighty
The chains don't hold me now","Broke the chains 
That held me down
The sun is shining now
I stand oh higher ground","On this mountain looking out
I see the future now
I'm higher than the clouds
I'm higher than the clouds","He lifts the lowly 
From the scrap heap
Never slumbers or sleeps
He is the champion
For Him I will breathe","All Glory to Him
My saving justice
And he has leveled 
Every mountain
Made the deserts oceans
His Mercy and tenderness","Lift up the broken
Oh My Creator
You are Almighty
The chains don't hold me now
They could not hold me down","Broke the chains 
That held me down
The sun is shining now
I stand oh higher ground","On this mountain looking out
I see the future now
I'm higher than the clouds
I'm higher than the clouds",,,,,,,,
44,Holy Spirit,"There’s nothing worth more
That will ever come close
No thing can compare
You’re our living hope
Your Presence Lord","I’ve tasted and seen
Of the sweetest of love
When my heart becomes free
And my shame is undone
Your Presence Lord","Holy Spirit,
You are welcome here
Come flood this place 
And fill the atmosphere","Your Glory God 
Is what our hearts long for 
To be overcome 
By Your Presence,
Lord","Let us become more aware of
Your Presence,Let us experience the 
Glory of Your Goodness","Holy Spirit,
You are welcome here
Come flood this place 
And fill the atmosphere","Your Glory God 
Is what our hearts long for 
To be overcome 
By Your Presence,
Lord",,,,,,,,,,,,,
45,Holy Spirit in this Land,"Holy Spirit in this Land
Reach out and touch us as we are
From the high high Mountains
To the deep deep Valleys
Holy Spirit in this Land",,,,,,,,,,,,,,,,,,,
46,Holy Spirit is my Helper,"The Spirit is my helper
Now and forever
The one who is always by my side","He strengthens me when I’m weak and worn
Takes away from me desires of this world
He teaches me to love and forgive
Shows me how to pray and fills me with the word","The mysteries of God He makes known to me
The truth now I’m able to see
Wisdom and counsel He gives to me
And fills me with power from above","The Spirit is my helper
Now and forever
The one who is always by my side",,,,,,,,,,,,,,,,
47,How Great is Our God,"The splendor of the King 
Clothed in majesty
Let all the earth rejoice
All the earth rejoice","He wraps himself in Light
And darkness tries to hide
And trembles at His voice
Trembles at His voice","How great is our God, 
Sing with me
How great is our God, 
and all will see
How great, how great is our God","Age to age He stands
And time is in His hands
Beginning and the end
Beginning and the end","The Godhead Three in One
Father, Spirit, Son
The Lion and the Lamb
The Lion and the Lamb","How great is our God, 
Sing with meHow great is our God, 
And all will see
How great, how great is our God","Name above all names
Worthy of our praise
My heart will sing
How great is our God","How great is our God,
Sing with meHow great is our God, 
And all will seeHow great, how great is our God",,,,,,,,,,,,
48,I Am the Bread of Life,"I am the bread of life
He who comes to me 
Shall not hunger
he who believes in me 
Shall not thirst.
No one can come to me
Unless the Father draw him.","And I will raise him up
And I will raise him up
And I will raise him up 
On the last day","The bread that I will give
Is my flesh for the 
Life of the world
And he who eats of this bread
He shall live for ever
He shall live for ever","And I will raise him up
And I will raise him up
And I will raise him up 
On the last day","Unless you eat of the 
Flesh of the Son of Man
And drink of his blood
And drink of his blood
You shall not have 
Life within you.","And I will raise him up
And I will raise him up
And I will raise him up 
On the last day","I am the resurrection
I am the life
He who believes in me
Even if he die
He shall live for ever","And I will raise him up
And I will raise him up
And I will raise him up 
On the last day","Yes, Lord, I believe
That you are the Christ
The Son of God,
Who has come
Into the world.","And I will raise him up
And I will raise him up
And I will raise him up 
On the last day",,,,,,,,,,
49,I Enter the Holy of Holies,"I enter the Holy of Holies
I enter through the 
Blood of the Lamb
I enter to worship You only
I enter to honor I am","Lord I worship You, I worship You
Lord I worship You, I worship You
For Your name is Holy, Holy Lord
For Your name is Holy, Holy Lord","Let the weight of 
Your glory cover us
Let the life of Your river flow
Let the truth of 
Your kingdom reign in us
Let the weight of Your glory
Let the weight of Your glory fall",,,,,,,,,,,,,,,,,
50,I Give You My Heart,"This is my desire
To honor You
Lord with all my heart
I worship You","All I have within me 
I give You praise
All that I adore 
Is in You","Lord I give You my heart 
I give You my soul
I live for you alone
And every breath that I take 
Every moment I'm awake
Lord have Your way in me","And I will live
And I will live for You
And I will live
And I will live for You","Lord I give You my heart 
I give You my soul
I live for you alone
And every breath that I take 
Every moment I'm awake
Lord have Your way in me",,,,,,,,,,,,,,,
51,I Have Decided to Follow Jesus,"I have decided to follow Jesus
I have decided to follow Jesus
I have decided to follow Jesus
No turning back, no turning back","The world behind me, 
The cross before me
The world behind me, 
The cross before me
The world behind me, 
The cross before me
No turning back, no turning back.","Though none go with me, 
Still I will follow
Though none go with me, 
Still I will follow
Though none go with me, 
Still I will follow
No turning back, no turning back.","My cross I’ll carry, till I see Jesus
My cross I’ll carry, till I see Jesus
My cross I’ll carry, till I see Jesus
No turning back, no turning back.","Will you decide now to follow Jesus
Will you decide now to follow Jesus
Will you decide now to follow Jesus
No turning back, no turning back",,,,,,,,,,,,,,,
52,I Offer My Life,"All that I am,
All that I have,
I lay them down before you,
Oh Lord","All my regrets,
All my Acclaims,
The joy and the pain,
I’m making them yours","Lord, I offer my life to You
Everything I've been through
Use it for Your glory","Lord I offer my days to You
Lifting my praise to You 
As a pleasing sacrifice
Lord I offer You my life","Things in the past
Things yet unseen
Wishes and dreams that are yet to come true","All of my heart,
All of my praise,
My heart and my hands,
Are lifted to you","Lord, I offer my life to You
Everything I've been through
Use it for Your glory","Lord I offer my days to You
Lifting my praise to You 
As a pleasing sacrifice
Lord I offer You my life",,,,,,,,,,,,
53,I Surrender,"Here I am
Down on my knees again
Surrendering all
Surrendering all","And find me here
Lord as You draw me near
Desperate for You
Desperate for You
I Surrender","Drench my soul
As mercy and grace unfold
I hunger and thirst
I hunger and thirst","With arms stretched wide
I know You hear my cry
Speak to me now
Speak to me now","I surrender
I surrender
I wanna know You more
I wanna know You more","Like a rushing wind
Jesus breathe within
Lord have Your way
Lord have Your way in me","Like a mighty storm
Stir within my soul
Lord have Your way
Lord have Your way in me","I surrender
I surrender
I wanna know You more
I wanna know You more",,,,,,,,,,,,
54,I Surrender All,"All to Jesus I surrender
All to Him I freely give
I will ever love and trust Him
In His presence daily live","I surrender all
I surrender all
All to Thee my blessed Savior
I surrender all","All to Jesus I surrender
Humbly at His feet I bow
Worldly pleasures all forsaken
Take me, Jesus, take me now","I surrender all
I surrender all
All to Thee my blessed Savior
I surrender all","All to Jesus I surrender
Make me Savior wholly thine
May Thy Holy Spirit fill me
May I know Thy power divine","I surrender all
I surrender all
All to Thee my blessed Savior
I surrender all",,,,,,,,,,,,,,
55,"I Wanna Clap, Clap, Clap","I wanna CLAP, CLAP, CLAP,
I wanna SNAP, SNAP, SNAP
I wanna CLAP, I wanna SNAP
And praise the Lord","When the gates are open wide
I wanna sit by Jesus side
I wanna CLAP, I wanna SNAP
And praise the Lord","I wanna ZOOM, ZOOM, ZOOM
Out of my GLOOM, GLOOM, GLOOM
I wanna ZOOM out of my GLOOM
And praise the Lord","When the gates are open wide
I wanna sit by Jesus side
I wanna CLAP, I wanna SNAP
I wanna ZOOM out of my GLOOM
And praise the Lord","I wanna SING, SING, SING
I wanna SHOUT, SHOUT, SHOUT
I wanna SING, I wanna SHOUT
And praise the Lord","When the gates are open wide
I wanna sit by Jesus side
I wanna CLAP, I wanna SNAP
I wanna ZOOM out of my GLOOM
I wanna SING, I wanna SHOUT
And praise the Lord","I wanna JUMP, JUMP, JUMP
I wanna DANCE, DANCE, DANCE
I wanna JUMP, I wanna DANCE
And praise the Lord","When the gates are open wide
I wanna sit by Jesus side
I wanna CLAP, I wanna SNAP
I wanna ZOOM out of my GLOOM
I wanna SING, I wanna SHOUT
I wanna JUMP, I wanna DANCE
And praise the Lord","I wanna FLY, FLY, FLY
Into the SKY, SKY, SKY
I wanna FLY, into the SKY
And praise the Lord","When the gates are open wide
I wanna sit by Jesus side
I wanna CLAP, I wanna SNAP
I wanna ZOOM out of my GLOOM
I wanna SING, I wanna SHOUT
I wanna JUMP, I wanna DANCE
I wanna FLY into the SKY
And praise the Lord",,,,,,,,,,
56,I'll Find You,"Just fight a little longer,
My friend
It's all worth it in the end
But when you got nobody 
To turn to","Just hold on and I'll find you
I'll find you
I'll find you
Just hold on and I'll find you","I'm hangin' on by a thread
And all I'm clingin' to is prayers
And every breath is like a battle
I feel like I ain't come prepared","And death's knocking 
On the front door
Pain's creeping through the back
Fear's crawling through 
The windows
Waiting for ‘em to attack","They say: Don't get bitter 
Get better
I'm working on switching 
Them letters
But tell God I'ma need a whole 
Lotta hope keeping it together
I'm smiling in everyone's face","I'm crying whenever 
They leave the room
They don't know the battle I face
They don't understand what 
I'm going through","The world tryna play 
With my soul
I'm just tryna find where to go
I'm tryna remember the way
I'm tryna get back to my home","But I can't do this on my own
That's why I'm just 
Trusting in You
Cause I don't know 
Where else to go
And I don't know what else to do","Just fight a little longer,
My friend
It's all worth it in the end
But when you got nobody 
To turn to","Just hold on and I'll find you
I'll find you
I'll find you
Just hold on and I'll find you","They say fear haunts 
And pain hates
I say pain strengthens 
And fear drives faith
And I don't know all 
Of the outcomes","Don't know what 
Happens tomorrow
But when that 
Ocean of doubt comes
Don't let me drown in my sorrow","And don't let me stay 
At the bottom
I feel like this hole 
Is too deep to climb
I've been looking for a way out
But I'll settle for a peace of mind","Picking up the pieces of my life
And hoping that I'll put 
Together something right
Tell me all I got is all I need
Tell me you gonna help me stay and fight","The world tryna play 
With my soul
I'm just tryna find where to go
I'm tryna remember the way
I'm tryna get back to my home","But I can't do this on my own
That's why I'm just 
Trusting in You
Cause I don't know 
Where else to go
And I don't know what else to do","No don't let the fear make you feel
Like you can't fight this 
On your own
You know I, I'll be there for you 
No matter where you go
You'll never be alone, no","Just fight a little longer,
My friend
It's all worth it in the end
But when you got nobody 
To turn to","Just hold on and I'll find you
I'll find you
I'll find you
Just hold on and I'll find you
",
57,If I were a Butterfly,"If I were a butterfly
I’d thank you, Lord
For giving me wings
And if I were a robin in a tree
I’d thank you Lord 
That I could sing","And if I were a fish in the sea
I’d wiggle my tail 
And I’d giggle with glee
But I just Thank You Father 
For making me – ME!","Cause you gave me a heart and
You gave me a smile
You gave me Jesus, and
You made me His Child
And I just Thank You, Father
For making me – ME!","If I were an elephant
I’d thank you, Lord 
By raising my trunk
And if I were a kangaroo
I’d hop, hop, hop, right up to you","And if I were an octopus
I’d thank you, Lord
For my good looks
But I just Thank You 
Father, for making me – ME!","Cause you gave me a heart and
You gave me a smile
You gave me Jesus, and
You made me His Child
And I just Thank You, Father
For making me – ME!","If I were a wiggly worm
I’d thank you, Lord 
That I could squirm
And if I were a crocodile
I’d thank you, Lord 
For my big smile","And if I were a fuzzy-wuzzy bear
I’d thank you, Lord
For my fuzzy-wuzzy hair
But I just Thank You
Father, for making me – ME!","Cause you gave me a heart and
You gave me a smile
You gave me Jesus, and
You made me His Child
And I just Thank You, Father
For making me – ME!",,,,,,,,,,,
58,In Christ Alone,"In Christ Alone,
My hope is found,
He is my light, my strength, my song
This Cornerstone, this Solid Ground","Firm through the fiercest
Drought and Storm
What heights of Love, 
What Depths of Peace
When fears are stilled, 
When strivings cease","My Comforter, 
My all in all
Here in the love of Christ
I stand","In Christ alone, who took on flesh
Fullness of God in helpless babe
This gift of love and righteousness
Scorned by the ones
He came to save","Till on that cross as Jesus died
The wrath of God was satisfied
For every sin on Him was laid
Here in the death of Christ I live","There in the ground His body lay
Light of the world by darkness slain
Then bursting forth in glorious Day
Up from the grave He rose again","And as He stands in victory
Sin's curse has lost its grip on me
For I am His and He is mine
Bought with the precious blood of Christ","No guilt in life, no fear in death
This is the power of Christ in me
From life's first cry to final breath
Jesus commands my destiny","No power of hell, 
No scheme of man
Can ever pluck me from His hand
Till He returns or calls me home
Here in the power of Christ I'll stand","I will stand
I will stand, all other ground is sinking sand
All other ground, all other ground
Is sinking sand, is sinking sand
So I'll stand",,,,,,,,,,
59,In the Name of Jesus,"In the name of Jesus, 
In the name of Jesus,
We have the victory.
In the name of Jesus, 
In the name of Jesus,
Satan, you have to flee.","Oh, what can ever stand before us
When we call on that great name?
Jesus, Jesus, precious Jesus,
We have the victory.",,,,,,,,,,,,,,,,,,
60,In Your Eyes,"Skylines and crowded streets
Calling my attention
The limelight and empty dreams
Grieving my affections","But there is a perfect Voice
Waiting above the noise
Jesus my only choice
When all the lights are
Screaming","Then I
I get lost in Your eyes
And find the clarity to life
The world when all 
The colors rage
But I'm not gonna look away, 
No, I get lost in Your eyes","I've read all the glossy guides
To living in contentment
I've heard all the pretty lies
And all of them are vacant","But You are a love unique
My heart, my identity
Jesus you're all I need
And see the rest is nothing","Then I
I get lost in Your eyes
And find the clarity to life
The world when all 
The colors rage
But I'm not gonna look away, 
No, I get lost in Your eyes",,,,,,,,,,,,,,
61,Indescribable,"You’re indescribable in every way
You searched me out and now 
I’m caught up in Your grace","I heard my name
Across the ocean
You pulled me closer
The current changed","You showed me life
A new horizon
A silver lining
A brand new day","And I’m like Oh
I can’t find the words to say
And oh You’re higher 
than all my ways","And Lord it’s You 
Who opened my eyes to see
And poured out 
Your heart for me
My God My God","You’re indescribable in every way
You searched me out and now 
I’m caught up in Your grace","I just can’t fathom it
I can’t make sense
Of how Your love 
So undeserving never ends","You give me freedom
That leaves me breathless
My glimpse of heaven
Is life with You","Now there’s no fighting
This gracious rhythm
I lift my hands high
In praise to You","Now every time I go
I can’t find the words to say
And oh You’re higher 
than all my ways","And Lord it’s You 
Who opened my eyes to see
And poured out 
Your heart for me
My God My God","You’re indescribable
Ooh ooh ooh
So indescribable
Ooh ooh ooh","Perfect love
Took my place
Only Jesus
Only grace","What compares
What comes close
Where You call me
I will go","You’re indescribable in every way
You searched me out and now 
I’m caught up in Your grace","I just can’t fathom it
I can’t make sense
Of how Your love 
So undeserving never ends","You’re indescribable
Ooh ooh ooh
So indescribable
Ooh ooh ooh",,,
62,Jambo,"Jambo
Jesus Loves You
Are you happy
He is with You","Karibu, into his presence
Why do you worry?
Hakunamatata
Oh, oh, oh, oh, 
Almighty God",,,,,,,,,,,,,,,,,,
63,Jeevan Jal,"Come come, come n have your way
Come come, take us to the way
Come come, come n have your way
Come come, yeah-e-yeah-e yeah!!","Aao paawan aatma
Jeevith tu mujhko kar de
Sookhi hai yeh dharti
Aur tooti hai yeh aasha","Tere bin na ji sakenge hum
Tu hee hai mukti daata
Mit jaega hum sabka gam
Mera yeh man hai pyaasa","O  Jeevan Jal behta chal behta chal
O Jeevan Jal behta chal behta chal
O Jeevan Jal behta chal behta chal
O Jeevan Jal behta chal behta chal","Jeevan jal tu aaja
De de tu apne vardaan
Tere jaisa saathi
Milega humko kahaan","Tere bin na ji sakenge hum
Tu hee hai mukti data
Mit jaega hum sabka gam
Mera yeh man hai pyaasa","O  Jeevan Jal behta chal behta chal
O Jeevan Jal behta chal behta chal
O Jeevan Jal behta chal behta chal
O Jeevan Jal behta chal behta chal","Come come, come n have your way
Come come, take us to the way
Come come, come n have your way
Come come, yeah-e-yeah-e yeah!!","O, O O, O O, O O O
Jeevan jal oh jeevan jal!!
Behta chal tu behta chal oh oh!!","Ohh, ooh, ooh!! 
I feel it. I feel it!!
Ohh, ooh, ooh!!
Yes! I feel it in my soul.","O  Jeevan Jal behta chal behta chal
O Jeevan Jal behta chal behta chal
O Jeevan Jal behta chal behta chal
O Jeevan Jal behta chal behta chal","Ooohhh, ooh, ooh, ooh, 
ooh, oh, oh!!
Ooohhh, ooh, ooh, ooh, ooh!!","I will sing of Your praise all day,
I wanna live in Your love everyday
Love is all that i need all day
From monday to sunday",,,,,,,
64,Jesus Youth Song,"South of India, Nineteen Eighty Five
A four day Conference, 
Did change some lives
Starts a revolution, 
Joining Earth and Heaven
Spreading the Good News, 
To the hearts of all Men","United States, Europe, and Middle East
Numbers multiplied, 
We grew and increased
All of us different, 
But we're a family
You and me and everyone, 
Is a missionary","Throw your hands up in the
Name of Jesus
Thinkin' about the blessings
Rained on us, Thank you Jesus","Daily Prayer, Word of God
Sacraments, Evangelization
Fellowship, Option for the poor
We sing, shout it loud
J-E-S-U-S-Y-O-U-T-H","Refined, Renewed, Radiant, 
We become witness
A gift to the Church and the world,
That our lives be blessed
May God bless our movement, 
And all its leaders
Not by our merits, 
But by the power of Jesus","Throw your hands up in the
Name of Jesus
Thinkin' about the blessings
Rained on us, Thank you Jesus","Daily Prayer, Word of God
Sacraments, Evangelization
Fellowship, Option for the poor
We sing, shout it loud
J-E-S-U-S-Y-O-U-T-H",,,,,,,,,,,,,
65,"Jesus, We Enthrone You","Jesus, we enthrone You
We proclaim You are King
Standing here, in the midst of us
We raise You up with our praise","And as we worship build Your throne
And as we worship build Your throne
And as we worship build Your throne
Come Lord Jesus and take Your place",,,,,,,,,,,,,,,,,,
66,King of My Heart,"Let the King of my heart
Be the mountain where I run
The fountain I drink from
Oh, He is my song","Let the King of my heart
Be the shadow where I hide
The ransom for my life
Oh, He is my song","Cause You are good
You are good, oh oh
You are good
You are good, oh oh","And let the King of my heart
Be the wind inside my sails
The anchor in the waves
Oh oh, He is my song","Let the King of my heart
Be the fire inside my veins
The echo of my days
Oh oh, He is my song","Cause You are good
You are good, oh oh
You are good
You are good, oh oh","You're never gonna let
You're never gonna let
You're never gonna let me down","Cause You are good
You are good, oh oh
You are good
You are good, oh oh",,,,,,,,,,,,
67,Lean on Me,"Hmm-hmm-hmm-hmm-hmm
Sometimes in our lives
We all have pain
We all have sorrow","But if we are wise
We know that 
There's always tomorrow","Lean on me
When you're not strong
And I'll be your friend
I'll help you carry on...","For it won't be long
Till I'm gonna need 
Somebody to lean on","Please swallow your pride
If I have things 
You need to borrow","For no one can fill
Those of your needs 
That you won't let show","You just call on me brother 
When you need a hand
We all need somebody 
To lean on","I just might have a problem 
That you'll understand
We all need somebody 
To lean on","Lean on me
When you're not strong
And I'll be your friend
I'll help you carry on...","For it won't be long
Till I'm gonna need 
Somebody to lean on","You just call on me brother 
When you need a hand
We all need somebody 
To lean on","I just might have a problem 
That you'll understand
We all need somebody 
To lean on","If there is a load 
You have to bear
That you can't carry","I'm right up the road
I'll share your load
If you just call me","Call me
If you need a friend
Call me
If you need a friend",,,,,
68,Let it Rain,"Let it rain,
Let it rain,
Open the flood gates of Heaven,
Let it rain",,,,,,,,,,,,,,,,,,,
69,Let Your Fire Fall,"Holy Spirit, Holy Spirit,
Come with your fire
Holy Spirit, Holy Spirit,
Come with your fire","Holy Spirit 
Come With Your Fire
Holy Spirit 
Come With Your Fire","Come, Holy Spirit,
Let your fire fall
Come, Holy Spirit,
Let your fire fall
Let your fire fall","Holy Spirit, holy spirit
Purify my heart
Holy Spirit, holy spirit
Purify my heart","Holy Spirit 
Purify my Heart
Holy Spirit 
Purify my Heart","Come, Holy Spirit,
Let your fire fall
Come, Holy Spirit,
Let your fire fall
Let your fire fall","Holy Spirit, holy spirit
Set my life on fire
Holy Spirit, holy spirit
Set my life on fire","Holy Spirit 
Set my life on fire
Holy Spirit 
Set my life on fire","Come, Holy Spirit,
Let your fire fall
Come, Holy Spirit,
Let your fire fall
Let your fire fall",,,,,,,,,,,
70,Light of the World,"The world waits for a miracle
The heart longs for 
A little bit of hope
Oh come, oh come, Emmanuel","A child prays for peace on Earth
And she's calling out 
From a sea of hurt
Oh come, oh come, Emmanuel","And can you hear 
The angels singing
Glory to the light of the world
Glory, the light of the world is here","The drought breaks 
With the tears of a mother
A baby's cry is the sound of love
Come down, come down, Emmanuel","Oh, He is the song 
For the suffering
He is Messiah, 
The Prince of Peace has come
He has come, Emmanuel","Glory to the light of the world
Glory to the light of the world
Glory to the light of the world
Glory to the light of the world","For all who wait
For all who hunger
For all who've prayed
For all who wonder","Behold your King
Behold Messiah
Emmanuel, Emmanuel","Glory to the light of the world
Glory to the light of the world
Glory to the light of the world","Behold your King
Behold Messiah
Emmanuel, Emmanuel","The world waits for the miracle
The heart longs for 
A little bit of hope
Oh come, oh come, Emmanuel",,,,,,,,,
71,LION,"God of Jacob, Great I Am
King of angels, Son of Man
Voice of many waters
Song of Heaven's throne
Louder than the thunder
Make Your glory known","Hail, hail Lion of Judah
Let the Lion roar 
(repeat)
Roar (roar)
Roar (roar)
Roar","Pride of Zion, prophets spoke
Our Messiah flesh and bone
You alone are worthy 
To open up the scroll
Like a lamb, You suffered, 
But the Lion has arose","Hail, hail Lion of Judah
Let the Lion roar 
(repeat)
Roar (Roar!)
Roar (Roar!)
Roar (Roar!)","Let it roar, 
let it roar, 
let it roar
Let the Lion roar","Prepare the way
Prepare the way of the Lord 
(repeat)
O valley, be raised up
O mountain, be made low 
(repeat)","Roar! (Roar!)
Roar! (Roar!)
Let the Lion roar! (Roar!)
Roar! (Roar!)","Prepare the way
Prepare the way of the Lord 
(repeat)
O valley, be raised up
O mountain, be made low 
(repeat)",,,,,,,,,,,,
72,Lord I Lift Your Name,"Lord I lift your name on high
Lord I love to sing your praises
I'm so glad you’re in my life
I'm so glad you came to save us","You came from heaven to earth, 
to show the way
From the earth to the cross, 
my debt to pay
From the cross to the grave, 
from the grave to the sky
Lord I lift your name on high",,,,,,,,,,,,,,,,,,
73,Lord I Need You,"Lord, I come, I confess
Bowing here I find my rest
Without You I fall apart
You're the One that guides my heart","Lord, I need You, oh, I need You
Every hour I need You
My one defense, my righteousness
Oh God, how I need You","Where sin runs deep 
Your grace is moreWhere grace is found 
Is where You are
And where You are, Lord, I am free
Holiness is Christ in me","Lord, I need You, oh, I need You
Every hour I need You
My one defense, my righteousness
Oh God, how I need You","So teach my song to rise to You
When temptation comes my way
When I cannot stand 
I'll fall on You
Jesus, you're my hope and stay","Lord, I need You, oh, I need You
Every hour I need You
My one defense, my righteousness
Oh God, how I need You","You're my one defense, 
My righteousness
Oh God, how I need You",,,,,,,,,,,,,
74,Love Came Down,"If my heart is overwhelmed
And I cannot hear Your voice
I hold on to what is true
Though I cannot see","If the storms of life, they come
And the road ahead gets steep
I will lift these hands in faith
I will believe","I'll remind myself
Of all that You've done
And the life I have
Because of Your Son","Love came down 
And rescued me
Love came down 
And set me free
I am Yours
Lord, I am forever Yours","Mountains high or valley low
I sing out and remind my soul
I am Yours
I am forever Yours","When my heart is 
Filled with hope
Every promise comes my way
When I feel Your hands of grace
Rest upon me","Staying desperate for You, God
Staying humble at Your feet
I will lift these hands in praise
I will believe","I'll remind myself
Of all that You've done
And the life I have
Because of Your Son","Love came down 
And rescued me
Love came down 
And set me free
I am Yours
Lord, I am forever Yours","Mountains high or valley low
I sing out and remind my soul
I am Yours
I am forever Yours","I am Yours
I am Yours
All my days
Jesus, I am Yours","Love came down 
And rescued me
Love came down 
And set me free
I am Yours
Lord, I am forever Yours","Mountains high or valley low
I sing out and remind my soul
I am Yours
I am forever Yours",,,,,,,
75,Love One Another,"Sing out, sing out
Make a Joyful Noise
Reach out, love one another
Everybody’s on a deadline","Trying to make it big
Go Higher
Everybody’s on a me trip
Never looking left nor right","Everybody’s kinda seeking
Trying to get their 
Own things going
There’s another road a calling
To lay down one’s own life","Reach out
Love one another
Sing out, sing out
Make a joyful noise","Everybody’s trying to hold on
That’s the time
They keep on losing
Do we know that when we let go
That’s the time we truly gain","If we’re living for this life now
We’re the greatest fools
No question
There’s a calling far beyond now
To live Eternity","On a Cross the Son of God
He Lay
Giving up his life for us
Laying down his glory
And His Crown
To bring Eternal life","Love is ever forgiving
Full activation
Any situation
No complication","Love is everlasting
Full affirmation
No hesitation
No deviation","Reach out
Love one another
Sing out, sing out
Make a Joyful Noise","Everybody’s kinda seeking
Trying to get 
Their own things going
There’s another road a calling
To lay down one’s own life","Reach out
Love one another
Sing out, sing out
Make a Joyful Noise",,,,,,,,
76,Majesty,"Here I am, 
Humbled by Your Majesty
Covered by 
Your grace so free","Here I am, 
Knowing I'm a sinful man
Covered by the 
Blood of the Lamb","Now I've found 
The greatest love of all is mine
Since You laid down Your life
Your greatest sacrifice","Majesty, Majesty
Your grace has found me 
Just as I am
Empty-handed 
But alive in Your hands","Here I am humbled by 
The love that You give
Forgiven so that I can forgive
So here I stand
Knowing that I'm Your desire","Sanctified by glory and fire
And now I've found 
The greatest love of all is mine
Since You laid down Your life
The greatest sacrifice","Majesty, Majesty
Your grace has found me 
Just as I am
Empty-handed 
But alive in Your hands","Singing Majesty, Majesty
Forever I am changed 
By Your love
In the presence of Your Majesty
Majesty","We're singing Majesty, Majesty
Your grace has found me 
Just as I am
And I'm nothing 
But alive in Your hands","We're singing Majesty, Majesty
Forever I am changed 
By Your love
In the beauty of Your Majesty",,,,,,,,,,
77,Maker,"We built our idols 
Just to see them fall
And our false gods 
Brought us nothing at all
How foolish we have been
Forgive us for our sins","Maker, there is none like You
Savior, no one else will do
Lord, there is no other God
Lord, there is no other God
Maker, there is none like You","And on our own, 
We have nothing but shame
But by Your grace, 
We all can stand again, yeah
How foolish we have been
Forgive us for our sins","Gather together
All around the world
Join with the angels
Lift up your voice
He is our Maker
He is our God and our Lord
Our Maker, there is none like You",,,,,,,,,,,,,,,,
78,Making Melody,"Making Melody in my Heart
Making Melody in my Heart
Making Melody in my Heart
Unto the King of Kings",,,,,,,,,,,,,,,,,,,
79,Mighty to Save,"Well, everyone needs compassion
A love that's never failing
But let mercy fall on me","Well everyone needs 
Forgiveness
The kindness of a Savior
The hope of nations","Savior
He can move the mountains
My God is Mighty to save
He is Mighty to save","Forever
Author of salvation
He rose and conquered the grave
Jesus conquered the grave","So take me as 
You find me
All my fears and failures
And fill my life again","I give my life 
to follow
Everything I believe in
And now I surrender","Savior
He can move the mountains
My God is Mighty to save
He is Mighty to save","Forever
Author of salvation
He rose and conquered the grave
Jesus conquered the grave","Shine your light and let the whole world see
We're singing for the glory of the risen King
Jesus",,,,,,,,,,,
80,"More Love, More Power","More Love, More Power,
More of you in my life
More Love, More Power,
More of you in my life","And I will worship you with all of my heart
And I will worship you with all of my mind
And I will worship you with all of my strength
For you are my God",,,,,,,,,,,,,,,,,,
81,My Jesus,"My Jesus, My Saviour,
Lord there is no one like you,
All of my days, I want to praise
The wonders of 
Your mighty love","My comfort, my shelter,
Tower of refuge and strength
Let every breath, all that I am
Never cease to worship You","Shout to the Lord, all the earth let us sing,
Power and majesty, praise to the King
Mountains bow down and the seas will roar,
At the sound of your name","I sing for joy at the work of your hands,
Forever I'll love you, forever I'll stand
Nothing compares to the
promise I have in You",,,,,,,,,,,,,,,,
82,My Life is in You,"My life is in You, Lord, 
My strength is in You, Lord
My hope is in You, Lord, 
In You, it's in You","I will praise You with all of my life
I will praise You with all of my strength
With all of my life, With all of my strength
All of my hope is in You",,,,,,,,,,,,,,,,,,
83,My Lighthouse,"In my wrestling and in my doubts
In my failures You won't walk out
Your great love will lead me through
You are the peace in my troubled sea","In the silence, You won't let go
In the questions, Your truth will hold
Your great love will lead me through
You are the peace in my troubled sea","My lighthouse, 
My lighthouse
Shining in the darkness
I will follow You","My lighthouse, 
My lighthouse
I will trust the promise
You will carry me safe to shore","I won't fear what tomorrow brings
With each morning I'll rise and sing
My God's love will lead me through
You are the peace in my troubled sea","My lighthouse, 
My lighthouse
Shining in the darkness
I will follow You","My lighthouse, 
My lighthouse
I will trust the promise
You will carry me safe to shore","Fire before us, 
You're the brightest
You will lead us 
through the storms",,,,,,,,,,,,
